16.05.1980	Mönchengladbach	Konzertmuschel						3. Frühlingsfestival
02.11.1980	Neuss	Okie Dokie						Schmier-Festival
15.11.1981	Osnabrück	Festival im Schloß	Aheads, Artless, Östro 430, Out Of Order, V.D., Suicides					
30.10.1982	Freiburg	AZ	Ranola, Lennons					
27.11.1984	Düsseldorf	Ratinger Hof						
30.11.1984	Osnabrück	Ostbunker	R.A.F. Gier					
16.03.1985	Paderborn							
24.08.1985	Wuppertal	A+P Festival						
01.03.1986	Tübingen	Epple Haus						
30.05.1986	Osnabrück	Ostbunker						
26.06.1986	Duisburg	Eschhaus	Scream					
11.07.1986	Meerbusch-Strümp	Pappkarton						
19.10.1986	Linz/AT	JUZ KAPU						
24.03.1987	Mannheim							
25.04.1987	Raunheim	JUZ	Blutsturz, Ramonez '77					
26.09.1987	Ludwigshafen	Haus der Jugend						
21.05.1988	Wilhelmshaven	Kling Klang						
04.06.1988	Hamburg							
02.07.1988	Steinach (Straubing)		Molotow Soda, Schlaganfall					
26.12.1988	Bonn	Bisquithalle						
12.01.1989	Frankfurt	JuZ Bockenheim	Sumpfpäpste					
13.01.1989	Leonberg	Beat Baracke	Sumpfpäpste, Verfaulte Mädels					
10.03.1989	Flensburg	Volksbad	Destination Zero					
22.04.1989	Ludwigshafen	Haus der Jugend						
13.05.1989	Wilhelmshaven	Kling Klang						
24.05.1989	Bochum	Zwischenfall						
09.06.1989	Hagen	Haus Waldfrieden						
14.11.1989	Verden	Dampfmühle						
15.11.1989	Kassel	Spot						
17.11.1989	Bielefeld	AJZ						
18.11.1989	Ehmen	JZ						
21.11.1989	Werl	Cult	Charley‘s War					
15.12.1989	Taunusstein							
16.12.1989	Pfeffenhausen	Hype						
19.05.1990	Bramsche	AJZ						
20.05.1990	Bremen							
24.05.1990	Bremen	Antifa Cafe						
13.07.1990	Ingolstadt	Fronte79						
31.08.1990	Hirschhorn, Neckar	JuZ	Bailbonds					
26.10.1990	Heiligenhaus	Der Club						
21.12.1990	Hamburg	Rote Flora	Boxhamsters					
23.12.1990	Bad Oeynhausen	Druckerei	Boxhamsters					
09.02.1991	Crailsheim	JuZ						
10.02.1991	Fildenstadt	JuZ						
12.02.1991	Donauwörth							
13.02.1991	Heidelberg	Schwimmbad Music Club	JMKE					
23.02.1991	Aachen	Backenzahn	Fatal Error					
06.04.1991	Schüttdorf	JuZ						
11.05.1991	Oberhausen	Druckluft	Die Fünfte Kolonne					
21.09.1991	Münster		Boxhamsters					
02.10.1991	Heidelbrg	AZ						
11.10.1991	Homburg	AJZ	Boxhamsters					
22.11.1991	Gießen		Boxhamsters					
13.12.1991	Wilhelmshaven	Kling Klang						
14.12.1991	Hannover		Cat O‘Nine Tails					
21.12.1991	Stuttgart							
22.12.1991	Ulm	Beteigeuze	Boxhamsters					
01.01.1992	Krefeld	Kulturfabrik					yyyy	
07.03.1992	Marl	HOT Hagenbusch						
23.06.1992	Oberhausen	Druckluft						
27.06.1992	Crailsheim	Degenbachstausee						Festival
05.09.1992	Wuppertal		Boxhamsters					
14.11.1992	Essen	Schleifmühle	Boxhamsters					Geburtstagsparty, nur geladene Gäste
05.02.1993	Waageningen/NL							
06.02.1993	Rotterdam/NL							
27.03.1993	Mönchengladbach	City Center Club	Die Strafe					
18.09.1993	Bremen	Schlachthof						
06.11.1993	Mönchengladbach	City Center Club	Die Strafe					
18.11.1993	Bochum	Bahnhof Langendreer	Boxhamsters					
18.12.1993	Mönchengladbach	Fahrenheit						
19.12.1993	Langenfeld	JuZ						
12.02.1994	Gießen	Infoladen	Die Strafe					
16.04.1994	Taunusstein							
07.01.1995	Münster (Dieburg)	BKA	Lichtpausen					
27.01.1995	Mönchengladbach	Kaiser-Friedrich-Halle „Sturm auf die Bastille“						
05.02.1995	Mönchengladbach	Geburtstagsparty						
18.02.1995	Monheim	Sojus7	Die Strafe					
